40,0,01/02/2022 18:01:59,False
40,1,01/02/2022 18:02:09,False
40,2,01/02/2022 18:02:12,False
43,0,01/02/2022 18:16:56,True
46,0,02/02/2022 9:40:20,True
46,1,02/02/2022 9:40:21,True
49,0,02/02/2022 11:07:44,True
55,0,02/02/2022 12:00:43,False
55,1,02/02/2022 12:01:41,True
55,2,02/02/2022 12:02:06,True
55,3,02/02/2022 12:02:12,True
56,0,02/02/2022 12:06:50,True
58,0,02/02/2022 14:43:18,True
59,0,02/02/2022 14:54:03,True
61,0,02/02/2022 14:56:56,True
63,0,04/02/2022 15:11:30,True
69,0,05/02/2022 15:34:20,True
70,0,05/02/2022 15:37:30,True
70,1,05/02/2022 15:37:48,True
73,0,05/02/2022 15:46:55,True
74,0,05/02/2022 15:49:58,True
75,0,05/02/2022 15:56:41,True
75,1,05/02/2022 15:57:06,True
77,0,05/02/2022 16:01:38,True
78,0,05/02/2022 16:03:56,True
119,0,06/02/2022 11:21:22,False
119,1,06/02/2022 11:21:27,False
119,2,06/02/2022 11:21:33,False
119,3,06/02/2022 11:21:35,False
119,4,06/02/2022 11:21:36,False
121,0,06/02/2022 11:40:09,False
121,1,06/02/2022 11:40:11,False
121,2,06/02/2022 11:40:12,False
121,3,06/02/2022 11:40:13,False
121,4,06/02/2022 11:40:14,False
121,5,06/02/2022 11:40:14,False
121,6,06/02/2022 11:40:14,False
143,0,12/02/2022 12:23:49,True
144,0,12/02/2022 13:03:27,True
145,0,12/02/2022 13:11:31,True
